Tweet_count,Username,Text,Created At,Retweets,Likes
1,IMCO,"La eliminación de los órganos autónomos podría afectar la certidumbre jurídica en México🇲🇽. Analizamos algunas de las consecuencias de esta reforma para la competitividad del país📜. ¿Cuáles son?
📩Suscríbete a #IdeasParaLlevar y recibe más información https://t.co/EdvP56b8qJ. https://t.co/OQjSn4XH89",Wed Sep 25 14:09:00 +0000 2024,1020,1600
2,Jenaro Villamil,"#PuntoDeReferencia. Aprueban, en lo general por 347 votos a favor y 128 votos en contra la desaparición de los organismos autónomos. @ReferenciaMex https://t.co/5SsVL9TQuI",Thu Nov 21 03:09:45 +0000 2024,279,591
3,Melissa Ⓜ️,"Miren..

AMLO va a desaparecer los organismos autónomos, pero NO lo hace por ahorrar.. lo hace por tener el control absoluto.

De acuerdo a un estudio de los mismos diputados, solo se ahorrarían 84 millones de pesos.

O sea, el licenciado López nos volvió a mentir.. https://t.co/LbkWvIzS1a",Fri Aug 02 12:38:50 +0000 2024,2251,3104
4,JUCA Noticias,"El presidente Andrés Manuel López Obrador insiste en que desaparezcan órganos ""autónomos"".

""Sería una muy buena reforma administrativa y se ahorrarían como 100 mil millones de pesos y no pasa nada"", planteó una reforma para eliminar a los institutos autónomos. https://t.co/hxFV5cuRFu",Thu Jul 11 15:05:48 +0000 2024,513,1022
5,Helen VL,"Sr @lopezobrador_ , vivimos en un mundo globalizado, todos miraran la Ineptitud y la Violación a la Ley y a los Derechos Humanos del @GobiernoMX . La Constitución y los Organismos Autónomos nos protegen de personas Incorrectas que Dañan nuestra Democracia
Por el bien de México, https://t.co/WrXP2UwWP9",Tue Dec 12 22:47:38 +0000 2023,82,202
