Tweet_count,Username,Text,Created At,Retweets,Likes
1,MKZ,"El poder judicial: Juez y parte, ¿la ley o el atrevimiento?

El poder judicial en México ha alcanzado un punto insólito. La jueza Nancy Juárez Salas, con una audacia que desafía las normas establecidas, ha ordenado a la presidenta Claudia Sheinbaum que elimine del Diario Oficial https://t.co/JVDfMXqFbv",Tue Oct 22 15:34:39 +0000 2024,128,185
2,SinLínea.Mx,"La #Reforma va a sanear el #PoderJudicial, bueno, ¡el Poder Familiar de la Federación!

También el tribunal de disciplina judicial va a contribuir porque será también integrada por elección del pueblo. La Corte era juez y parte, entonces, el Tribunal de Justicia realmente no https://t.co/q4j3zGBweC",Fri Nov 15 15:33:10 +0000 2024,787,1545
